IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
74.241.209.111,2053,443,true,ARN,Europe,Stockholm,236,11.06
74.241.209.111,8443,443,true,ARN,Europe,Stockholm,326,11.02
20.221.32.145,443,443,true,ORD,North America,Chicago,401,10.97
135.225.118.68,2053,443,true,CPH,Europe,Copenhagen,178,10.87
20.217.216.51,2053,443,true,VIE,Europe,Vienna,178,10.61
20.217.216.51,8443,443,true,VIE,Europe,Vienna,186,10.46
20.33.62.19,2083,443,true,LHR,Europe,London,337,10.03
98.71.19.116,443,443,true,DUB,Europe,Dublin,255,9.91
20.121.115.188,443,443,true,IAD,North America,Ashburn,525,9.66
20.233.57.238,8443,443,true,BOM,Asia Pacific,Mumbai,284,9.34
20.36.131.211,443,443,true,IAD,North America,Ashburn,252,9.19
4.255.56.138,443,443,true,EWR,North America,Newark,376,8.98
158.23.49.237,8443,443,true,DFW,North America,Dallas,214,8.97
158.23.169.65,2053,443,true,DFW,North America,Dallas,212,8.71
20.25.205.37,8443,443,true,ORD,North America,Chicago,472,8.66
20.25.205.37,2053,443,true,ORD,North America,Chicago,449,8.61
20.151.63.165,8443,443,true,YYZ,North America,Toronto,349,8.61
158.23.48.156,2053,443,true,DFW,North America,Dallas,290,8.56
158.23.49.237,2053,443,true,DFW,North America,Dallas,351,8.52
20.151.60.161,8443,443,true,YYZ,North America,Toronto,281,8.51
158.23.81.224,8443,443,true,DFW,North America,Dallas,248,8.47
158.23.169.65,8443,443,true,DFW,North America,Dallas,261,8.44
4.255.56.137,443,443,true,IAD,North America,Ashburn,428,8.41
158.23.81.224,2053,443,true,DFW,North America,Dallas,242,8.37
158.23.48.156,8443,443,true,DFW,North America,Dallas,339,8.37
20.62.202.159,443,443,true,EWR,North America,Newark,268,8.36
20.109.23.42,443,443,true,IAD,North America,Ashburn,291,8.35
20.220.29.122,2053,443,true,YYZ,North America,Toronto,393,8.34
20.127.201.36,443,443,true,EWR,North America,Newark,351,8.33
13.68.186.91,443,443,true,EWR,North America,Newark,372,8.15
48.217.34.120,443,443,true,IAD,North America,Ashburn,317,8.14
20.228.249.211,2053,443,true,EWR,North America,Newark,364,7.95
20.220.29.122,8443,443,true,YYZ,North America,Toronto,437,7.95
20.151.90.208,8443,443,true,YYZ,North America,Toronto,297,7.94
172.210.128.52,8443,443,true,IAD,North America,Ashburn,390,7.93
20.84.117.28,443,443,true,EWR,North America,Newark,386,7.89
4.239.248.70,8443,443,true,YYZ,North America,Toronto,456,7.88
4.172.225.98,8443,443,true,YYZ,North America,Toronto,231,7.82
4.206.223.188,8443,443,true,YYZ,North America,Toronto,458,7.74
20.228.249.211,8443,443,true,EWR,North America,Newark,418,7.72
4.172.225.82,8443,443,true,YYZ,North America,Toronto,297,7.62
172.177.248.69,8443,443,true,IAD,North America,Ashburn,402,7.61
104.46.101.90,8443,443,true,IAD,North America,Ashburn,570,7.58
40.123.47.225,8443,443,true,IAD,North America,Ashburn,399,7.44
137.116.91.147,8443,443,true,IAD,North America,Ashburn,305,7.38
172.210.128.52,2053,443,true,IAD,North America,Ashburn,242,7.28
